,Title,Price,Link
10,"Lenovo IdeaPad 1 Intel Core Celeron N4020 15"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/Office 2021/1Yr Warranty/Cloud Grey/1.3Kg), 82V700ECIN  ","26,240",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V700ECIN/dp/B0CWRS3XRB/ref=sr_1_26?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.DHj-wFrd-_ZRisqddUZMwrvZ8S8xdGwtl4lW6wlqu7zSIxoAXQQhlrZPh503DjJeQX5uG3hMHSaOZgpOHgy_zg0Q3cLIahK_4UsaSVVv_oRcFpbQ5I9BZ_vVjFVx5g6PiGcdBxU94U4xBh8_otYIxjL-EDegFCPpA7ExC2lNq4TF0eAcmaimc5KMMluAoVldwdfZkf4qGJ2xUnVGnljDPCbVRvNrEYHrZhDr-Z5sIhw.YUQW2EKtLiLW3ZL2L-4PX-XmJDudMONF2qwEOc3w4nw&dib_tag=se&keywords=laptop&qid=1724515359&sprefix=lapto%2Caps%2C360&sr=8-26
11,"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fy5011TU  ","36,990",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0D4LZMJ5Z/ref=sr_1_38?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.dR-HLnStQb7JYCYveGP_O2yxTR-gt9wRgwb4HHvNKYUyt9Ngj5nUiDjHfXKHNHBYXVfGwSLvmNLKteap0ft_7ttufd7LZsD7y2mGBNE4M3pUWIyHcV7c7qNs_7sOSxXBZB3XGoyLWskZ3-TQKclddOz_mFbYaRTD-_T_F_vKTUUd5iT6_lMlWlafuPnE0pXk2r4L8tROWP8VrpVH_Tw4b0M5cIsnIOLQwF3gziMZnJY.tvLsj_pzHNVYHXJ_q-A7kJmcPGucuTTiek_1JHvO7DU&dib_tag=se&keywords=laptop&qid=1724515364&sprefix=lapto%2Caps%2C360&sr=8-38
12,"Dell Vostro 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ","54,240",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjk0NzIzNzY1NDQ3NTE2OjE3MjQ1MTUzNTk6c3BfYnRmOjMwMDI2NDEzNDY2NjkzMjo6MDo6&url=%2FDell-Generation-i5-1334U-Processor-39-62cm%2Fdp%2FB0D46QQHW6%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2AZFGVVZZZ6C8%26dib%3DeyJ2IjoiMSJ9.DHj-wFrd-_ZRisqddUZMwrvZ8S8xdGwtl4lW6wlqu7zSIxoAXQQhlrZPh503DjJeQX5uG3hMHSaOZgpOHgy_zg0Q3cLIahK_4UsaSVVv_oRcFpbQ5I9BZ_vVjFVx5g6PiGcdBxU94U4xBh8_otYIxjL-EDegFCPpA7ExC2lNq4TF0eAcmaimc5KMMluAoVldwdfZkf4qGJ2xUnVGnljDPCbVRvNrEYHrZhDr-Z5sIhw.YUQW2EKtLiLW3ZL2L-4PX-XmJDudMONF2qwEOc3w4nw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724515359%26sprefix%3Dlapto%252Caps%252C360%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,"ASUS Vivobook 16, IntelCore™ i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS  ","35,990",https://amazon.in//ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_79?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.lzAY-gsAIgmSbM7T0gOaVFUX0uzsHvcZvpYLWS5p0pVtSlXDN0t6AB_7HTe5rPaH5BlOflK5miAsp5b4nbyJ6ir-pvIbGPZmmv51uoPE0JtnE3fpCdnSIMMHeFUgvCtcBylhJtzy4oC9QUnPREItqbCotU8PrD6vJBiYS4ItdeYUbq2DbbV1C3mf3QEGxGfDfJvYJ137fDAVpFzHUgi5ZMD3XJmwsbAOTWHP9AtgYhU.dG34nfA-m8SdvTQpINtajfoU3rVfNeookrmQuNIZFTA&dib_tag=se&keywords=laptop&qid=1724515374&sprefix=lapto%2Caps%2C360&sr=8-79
14,"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display  ","25,490",https://amazon.in//Acer-Processor-Graphics-Windows-Z2-493/dp/B0C3R5VWP3/ref=sr_1_236?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.xDt-5gnbhhLG7cNLQbddWbYZ6M-Tx_EZUy9g4uHQqKDaXl82ZCxlf0g5xK7rq4_2qp5NtKqHxqLM9hyeNVL-85bv03Ve5kMoaluHEt0q9thhEbO3Fl5zYh2ohBEWL-11fFBX-_h_I5rrU-mKWBoQFZ8yDrfGamcvNmoylWo14CjcsMIbVGhOt4QbEkys2577CMMd8fz1GjbwcP876nB2v4NeHj1R5qfBb7Mw1GCNBzI.Dy2u5UUzr_n3Hue6zEu-s2W6eAsICE9Y9vDbumkRJ8I&dib_tag=se&keywords=laptop&qid=1724515440&sprefix=lapto%2Caps%2C360&sr=8-236
15,"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/Arctic Grey/1.65 Kg), 82YU00W7IN  ","27,980",https://amazon.in//Lenovo-39-62cm-Antiglare-Windows-82YU00W7IN/dp/B0CSFW9D4W/ref=sr_1_231?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.xDt-5gnbhhLG7cNLQbddWbYZ6M-Tx_EZUy9g4uHQqKDaXl82ZCxlf0g5xK7rq4_2qp5NtKqHxqLM9hyeNVL-85bv03Ve5kMoaluHEt0q9thhEbO3Fl5zYh2ohBEWL-11fFBX-_h_I5rrU-mKWBoQFZ8yDrfGamcvNmoylWo14CjcsMIbVGhOt4QbEkys2577CMMd8fz1GjbwcP876nB2v4NeHj1R5qfBb7Mw1GCNBzI.Dy2u5UUzr_n3Hue6zEu-s2W6eAsICE9Y9vDbumkRJ8I&dib_tag=se&keywords=laptop&qid=1724515440&sprefix=lapto%2Caps%2C360&sr=8-231
16,"HP Laptop 14, Intel® Core™ i3-1215U, 14-inch(35.6 cm), FHD,8GB DDR4,512GB SSD,MSO,Dual Speakers,Win 11,Silver, 1.46 kg,14s-dq5138TU  ","37,590",https://amazon.in//HP-i3-1215U-14-inch-Speakers-14s-dq5138TU/dp/B0CXMX4NJ2/ref=sr_1_87?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.VR4DK8cb7aFr0fn4bIrK0cu0i9HviEUXDuRrfxtN6lCoW8g7t_PWmmIqIK5KUjrWxtJvHzm94Mb0mZQenj4JQSxapTTYZfNEJr8qZwFg3dNZl0UtIP1PZbY5Z2dvqeqUquuUH76iCvaT2anchV4xlTxSwUgV8lbt4vt2cGkPucn3V1yBFqlacuTX3TR_YQzFmGvQMRxs3BMkWY3FVW3cB3rWykVcafYQiUyijnPST7c.VsHiP0Bx71-nkCxTStNMLW6R-fB5qYgbSQ9Xws8nG00&dib_tag=se&keywords=laptop&qid=1724515379&sprefix=lapto%2Caps%2C360&sr=8-87
17,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port  ","62,980",https://amazon.in//Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D143SJ9R/ref=sr_1_178?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.G6-ruRWEeq136Fb3KfXTnw-wLQF0NSVVPSyH53lp8AUkTPJhVHACJoh5k5q1Nj3D8o-daVEJ4Vb99sU3ECPZEdRNq5SPHH4NGVQjXa8isuihmicwo9o85se6fa8r4lBSLz0n5Ek8ribXNUqW-vcktY13naYItU1uU14tK2FqHCjB3e5kbkmrM0n8EUECR_myzEBrsk4uxRw5GzeUJKV_R5WW8pQrOrmmDFlDmsWoGrg.56-nYtZHDEVJRfNh09HPtS7UyDsQz_t0IvHPQTtUGgo&dib_tag=se&keywords=laptop&qid=1724515407&sprefix=lapto%2Caps%2C360&sr=8-178
18,"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe graphics, FHD camera w/privacy shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0011TU  ","53,900",https://amazon.in//HP-i5-1335U-15-6-inch-Graphics-fd0011TU/dp/B0C3RCP717/ref=sr_1_127?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.zsN1QAx2LB2hsuLCu_ZbcBKua71DZB3FaLHDkXcrUq8ELgp6bNqO5K100g1iGg7altTThT9N5PgtoUZNzGLcMciiCnF5fXiVD5j46wepH2CYOkqG1cbUbt1WWooCj-xqSFpt00Bfp0KXbFF9RXyyrV7iYQx9BNG5xZYWIZ0nuuiQuWkcA1Ls2BJ6JKuWDad2n02HtJgdXiPSPwlUYrMfW3BvSGZO5GmASQuqfmUOJ24.qG1NnLBXjQOE3NS5l-AeLT4vLhUXS7ZGsrAsQPWHJ8Y&dib_tag=se&keywords=laptop&qid=1724515388&sprefix=lapto%2Caps%2C360&sr=8-127
19,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/1 TB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","37,599",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CQVR5TTC/ref=sr_1_199?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.S_bp_tqx_YZJHG2SwNwSmR5EW6f5ZDWCsmZVyxky8QW4MfJYHvHwkMokJK5HRWWjEDRTseKOWh8u0-uEPTsWcSnIlOEBiB3f5UWsSqqnxZKyH0dRSLfDxoyUQrxn1oCTghIZPn7IeLsAbbvps8GfuF5UHTihjogzipdzCxR-3BF27E82vReTbn4xDYn0cWcMNNz7GwJCn2qu-dRKPQ42QpfkCHWgXJJje9f0wy-_TTk.cZ49Zz6U5Cs2m3fUdSROuOOm9i_gFrhyl_v3hESXJY8&dib_tag=se&keywords=laptop&qid=1724515419&sprefix=lapto%2Caps%2C360&sr=8-199
